STATEFIPS;STATE;ZIPCODE;NumofReturns;TotalIncome;Salaries;NumofRetwithDivis;Divis;NumofRetwithRE;Retax
36;NY;10460;28870.0000;935579.0001;725918.0000;630.0000;845.0000;360.0000;1731.0000
36;NY;10461;25950.0000;1385179.0000;1064278.0000;2890.0000;8813.0000;1270.0000;7485.0000
36;NY;10462;41840.0000;1870340.0000;1446962.0000;2570.0000;4724.0000;990.0000;4546.0000
36;NY;10463;36490.0000;2465129.0000;1656840.0000;6180.0000;59218.0000;2480.0000;13587.0000
36;NY;10464;2210.0000;201204.0000;125694.0000;620.0000;3075.0000;380.0000;2555.0000
36;NY;10465;20620.0000;1331849.0000;988166.0000;2960.0000;8676.0000;2200.0000;12078.0000
36;NY;10466;34370.0000;1496718.0000;1217715.0000;1830.0000;1894.0000;2270.0000;11032.0000
36;NY;10467;49360.0000;1861398.0000;1464735.0000;1860.0000;4649.0000;930.0000;4229.0000
36;NY;10468;39780.0000;1314920.0000;983090.0000;1220.0000;2514.0000;420.0000;1719.0000
36;NY;10469;34250.0000;1679769.0000;1331882.0000;2720.0000;5685.0000;2850.0000;15299.0000
36;NY;10470;7940.0000;450409.0000;339642.0000;940.0000;3253.0000;490.0000;2495.0000
36;NY;10471;10040.0000;1344310.0000;769117.0000;3130.0000;50056.0000;1590.0000;14788.0000
36;NY;10472;31490.0000;1069767.0000;806947.0000;1030.0000;1395.0000;500.0000;2745.0000
36;NY;10473;30080.0000;1279353.0000;986684.0000;1400.0000;1675.0000;1350.0000;5354.0000
36;NY;10474;5300.0000;168864.0000;133051.0000;70.0000;25.0000;50.0000;200.0000
36;NY;10475;23130.0000;1197818.0000;874486.0000;2150.0000;3347.0000;1100.0000;2963.0000
36;NY;10501;670.0000;115128.0000;71871.0000;310.0000;2160.0000;160.0000;2730.0000
36;NY;10502;2850.0000;569305.0000;380733.0000;1480.0000;15533.0000;800.0000;19119.0000
36;NY;10504;4020.0000;1827098.0000;878216.0000;2650.0000;82731.0000;1340.0000;38943.0000
36;NY;10505;810.0000;108288.0000;77289.0000;280.0000;1578.0000;130.0000;2258.0000
36;NY;10506;2760.0000;1127614.0000;566866.0000;1770.0000;62062.0000;1000.0000;26344.0000
36;NY;10507;2740.0000;537298.0000;309628.0000;900.0000;31582.0000;440.0000;9993.0000
36;NY;10509;10480.0000;984648.0000;676117.0000;2960.0000;17438.0000;1600.0000;18158.0000
36;NY;10510;4950.0000;1514785.0000;788422.0000;3030.0000;71816.0000;1500.0000;35174.0000
36;NY;10511;1180.0000;101616.0000;73057.0000;290.0000;1111.0000;170.0000;1654.0000
36;NY;10512;13220.0000;1311558.0000;866860.0000;3800.0000;19844.0000;2030.0000;24262.0000
36;NY;10514;5410.0000;2831495.0000;1511690.0000;3620.0000;132046.0000;2120.0000;64424.0000
36;NY;10516;2790.0000;488793.0000;202591.0000;1110.0000;12405.0000;530.0000;7027.0000
36;NY;10518;700.0000;138325.0000;82829.0000;340.0000;6323.0000;200.0000;3465.0000
36;NY;10520;6410.0000;1006336.0000;679351.0000;2720.0000;26232.0000;1330.0000;19817.0000
36;NY;10522;5420.0000;1096997.0000;811030.0000;2230.0000;27169.0000;1050.0000;22939.0000
36;NY;10523;5230.0000;397436.0000;311090.0000;960.0000;3699.0000;650.0000;7745.0000
36;NY;10524;2180.0000;393210.0000;205738.0000;890.0000;16888.0000;470.0000;7433.0000
36;NY;10526;970.0000;176380.0000;97717.0000;440.0000;4362.0000;220.0000;3871.0000
36;NY;10527;440.0000;77511.0001;52539.0000;240.0000;1694.0000;110.0000;1856.0000
36;NY;10528;6010.0000;2066877.0000;891243.0000;2520.0000;90001.0000;1200.0000;30345.0000
36;NY;10530;7290.0000;956171.0000;606144.0000;3210.0000;26857.0000;1870.0000;24023.0000
36;NY;10532;2580.0000;283083.0000;210252.0000;1040.0000;5057.0000;570.0000;7534.0000
